indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1989,21.0596935101847,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1988,19.6683027001421,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1987,17.9810554239697,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1986,16.5265343439129,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1985,15.1996475603979,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1984,14.3995476077688,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1983,13.2936603505448,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1982,11.8833363334912,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1981,11.0142316437707,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1980,9.7374092846992,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1979,8.74517527238275,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1978,8.22876409284699,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1977,8.02625769777357,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1976,7.41062245381335,,,1
"{'id': 'FP.CPI.TOTL', 'value': 'Consumer price index (2010 = 100)'}","{'id': 'IN', 'value': 'India'}",IND,1975,8.02310184746566,,,1
